2017-09-19 16:22:51.909,INFO,2BYTE_LOG,Client time at send: 105168635,Server time at receive:105168635,Server time at send:105168635,Client time at receive:105168635,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.949,INFO,2BYTE_LOG,Client time at send: 105168682,Server time at receive:105168682,Server time at send:105168682,Client time at receive:105168682,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.961,INFO,2BYTE_LOG,Client time at send: 105168698,Server time at receive:105168698,Server time at send:105168698,Client time at receive:105168698,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:52.001,INFO,2BYTE_LOG,Client time at send: 105168729,Server time at receive:105168729,Server time at send:105168729,Client time at receive:105168729,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:52.014,INFO,2BYTE_LOG,Client time at send: 105168744,Server time at receive:105168744,Server time at send:105168744,Client time at receive:105168744,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:52.053,INFO,2BYTE_LOG,Client time at send: 105168776,Server time at receive:105168791,Server time at send:105168791,Client time at receive:105168791,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:22:52.066,INFO,2BYTE_LOG,Client time at send: 105168791,Server time at receive:105168791,Server time at send:105168791,Client time at receive:105168791,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:52.110,INFO,2BYTE_LOG,Client time at send: 105168838,Server time at receive:105168838,Server time at send:105168838,Client time at receive:105168838,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:52.119,INFO,2BYTE_LOG,Client time at send: 105168854,Server time at receive:105168854,Server time at send:105168854,Client time at receive:105168854,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:52.162,INFO,2BYTE_LOG,Client time at send: 105168885,Server time at receive:105168900,Server time at send:105168900,Client time at receive:105168900,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:22:52.171,INFO,2BYTE_LOG,Client time at send: 105168900,Server time at receive:105168900,Server time at send:105168900,Client time at receive:105168900,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:52.214,INFO,2BYTE_LOG,Client time at send: 105168947,Server time at receive:105168947,Server time at send:105168947,Client time at receive:105168947,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:52.223,INFO,2BYTE_LOG,Client time at send: 105168947,Server time at receive:105168947,Server time at send:105168947,Client time at receive:105168947,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:52.266,INFO,2BYTE_LOG,Client time at send: 105168994,Server time at receive:105168994,Server time at send:105168994,Client time at receive:105168994,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
