2017-09-19 16:26:51.306,INFO,1MB_LOG,Client time at send: 105408019,Server time at receive:105408019,Server time at send:105408019,Client time at receive:105408034,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:51.337,INFO,1MB_LOG,Client time at send: 105408050,Server time at receive:105408050,Server time at send:105408065,Client time at receive:105408065,Client to server timespan:0,Server receive to server send timespan:15,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:51.385,INFO,1MB_LOG,Client time at send: 105408097,Server time at receive:105408112,Server time at send:105408112,Client time at receive:105408112,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:51.417,INFO,1MB_LOG,Client time at send: 105408128,Server time at receive:105408128,Server time at send:105408143,Client time at receive:105408143,Client to server timespan:0,Server receive to server send timespan:15,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:51.461,INFO,1MB_LOG,Client time at send: 105408175,Server time at receive:105408175,Server time at send:105408190,Client time at receive:105408190,Client to server timespan:0,Server receive to server send timespan:15,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:51.497,INFO,1MB_LOG,Client time at send: 105408206,Server time at receive:105408221,Server time at send:105408221,Client time at receive:105408221,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:51.540,INFO,1MB_LOG,Client time at send: 105408253,Server time at receive:105408253,Server time at send:105408253,Client time at receive:105408268,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:51.575,INFO,1MB_LOG,Client time at send: 105408284,Server time at receive:105408299,Server time at send:105408299,Client time at receive:105408299,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:51.623,INFO,1MB_LOG,Client time at send: 105408331,Server time at receive:105408346,Server time at send:105408346,Client time at receive:105408346,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:51.655,INFO,1MB_LOG,Client time at send: 105408362,Server time at receive:105408377,Server time at send:105408377,Client time at receive:105408377,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:51.701,INFO,1MB_LOG,Client time at send: 105408409,Server time at receive:105408424,Server time at send:105408424,Client time at receive:105408424,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:51.736,INFO,1MB_LOG,Client time at send: 105408440,Server time at receive:105408455,Server time at send:105408455,Client time at receive:105408471,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:31
2017-09-19 16:26:51.782,INFO,1MB_LOG,Client time at send: 105408487,Server time at receive:105408502,Server time at send:105408502,Client time at receive:105408502,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:51.814,INFO,1MB_LOG,Client time at send: 105408533,Server time at receive:105408533,Server time at send:105408533,Client time at receive:105408549,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:51.861,INFO,1MB_LOG,Client time at send: 105408565,Server time at receive:105408580,Server time at send:105408580,Client time at receive:105408596,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:31
2017-09-19 16:26:51.894,INFO,1MB_LOG,Client time at send: 105408611,Server time at receive:105408611,Server time at send:105408611,Client time at receive:105408627,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:51.939,INFO,1MB_LOG,Client time at send: 105408658,Server time at receive:105408658,Server time at send:105408658,Client time at receive:105408674,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:51.974,INFO,1MB_LOG,Client time at send: 105408689,Server time at receive:105408689,Server time at send:105408689,Client time at receive:105408705,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:52.019,INFO,1MB_LOG,Client time at send: 105408736,Server time at receive:105408736,Server time at send:105408736,Client time at receive:105408752,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
